country,access_to_electricity_percentage,individuals_using_internet_percentage,year
Bahrain,100,99.7,2019
Bahrain,100,99.67,2020
Bangladesh,55.26,3.7,2010
Bangladesh,59.6,4.5,2011
Bangladesh,65.55,5,2012
Bangladesh,61.5,6.63,2013
Bangladesh,62.4,11.9,2014
Bangladesh,74,12.9,2015
Bangladesh,75.92,18.1,2016
Bangladesh,88,19.8,2017
Bangladesh,86.92,23.44,2018
Bangladesh,92.2,27.76,2019
Bangladesh,96.2,32.87,2020
Barbados,100,65.1,2010
Barbados,100,66.5,2011
Barbados,100,71.2,2012
Barbados,100,71.8,2013
Barbados,100,75.16,2014
Barbados,100,76.11,2015
Barbados,100,79.55,2016
Barbados,100,81.76,2017
Barbados,100,82.48,2018
Barbados,100,83.21,2019
Barbados,100,82.46,2020
Belarus,94.38,31.8,2010
Belarus,94.98,39.65,2011
Belarus,95.58,46.91,2012
Belarus,96.18,54.17,2013
Belarus,96.78,59.02,2014
Belarus,97.37,62.23,2015
Belarus,98.04,71.11,2016
Belarus,98.74,74.44,2017
Belarus,99.35,79.13,2018
Belarus,100,82.79,2019
Belarus,100,85.09,2020
Belgium,100,77.64,2010
Belgium,100,81.61,2011
Belgium,100,80.72,2012
Belgium,100,82.17,2013
Belgium,100,85,2014
Belgium,100,85.05,2015
Belgium,100,86.52,2016
Belgium,100,87.68,2017
Belgium,100,88.65,2018
Belgium,100,90.28,2019
Belgium,100,91.53,2020
Belize,89.92,28.2,2010
Belize,91.68,30.7,2011
Belize,90.92,31,2012
Belize,91.13,33.6,2013
Belize,91.47,38.7,2014
Belize,91.8,41.59,2015
Belize,93.26,44.58,2016
Belize,94.15,47.08,2017
Belize,91.72,49.8,2018
Belize,92.72,57.12,2019
Belize,96.81,59.51,2020
Benin,34.2,3.13,2010
Benin,36.9,4.15,2011
Benin,38.4,4.5,2012
Benin,34.65,4.9,2013
Benin,34.1,6,2014
Benin,37.03,14.5,2016
Benin,34.5,18.7,2017
Benin,39.01,19,2018
Benin,40,22.42,2019
Benin,40.99,28.23,2020
Bermuda,100,84.21,2010
Bermuda,100,88.34,2011
Bermuda,100,91.3,2012
Bermuda,100,95.3,2013
Bermuda,100,96.8,2014
Bermuda,100,98.32,2015
Bermuda,100,98,2016
Bermuda,100,98.37,2017
Bhutan,73.28,13.6,2010
Bhutan,81.78,14.4,2011
Bhutan,91.5,15.6,2012
Bhutan,87.42,22.4,2013
Bhutan,91.39,30.3,2014
Bhutan,95.36,39.8,2015
Bhutan,99.32,46.5,2016
Bhutan,97.7,54.3,2017
Bhutan,99.96,63.5,2018
Bhutan,100,74.18,2019
Bhutan,100,79.87,2020
Bolivia,87.95,22.4,2010
Bolivia,88.34,30,2011
Bolivia,90.39,35.34,2012
Bolivia,89.51,36.99,2013
Bolivia,90.04,34.6,2014
Bolivia,91.52,37.49,2015
Bolivia,91.8,39.7,2016
Bolivia,91.8,43.83,2017
Bolivia,92.8,44.29,2018
Bolivia,95.08,47.47,2019
Bolivia,97.22,59.94,2020
"Bosnia and Herzegovina",99.49,42.75,2010
"Bosnia and Herzegovina",99.71,43.89,2011
"Bosnia and Herzegovina",99.72,45.06,2012
"Bosnia and Herzegovina",99.5,48.52,2013
"Bosnia and Herzegovina",99.92,49.92,2014
"Bosnia and Herzegovina",99.7,52.6,2015
"Bosnia and Herzegovina",100,60.26,2016
"Bosnia and Herzegovina",100,64.89,2017
"Bosnia and Herzegovina",100,70.12,2018
"Bosnia and Herzegovina",100,69.95,2019
"Bosnia and Herzegovina",100,73.21,2020
Botswana,52.03,6,2010
Botswana,53.24,9,2011
Botswana,55.97,16,2012
Botswana,57.97,30,2013
Botswana,60.02,36.74,2014
Botswana,62.13,37.31,2015
Botswana,64.2,39.36,2016
Botswana,67.4,41.41,2017
Botswana,68.25,58,2018
Botswana,70.1,64.83,2019
Botswana,71.83,72.75,2020
Brazil,98.6,40.65,2010
Brazil,99.33,45.69,2011
Brazil,99.52,48.56,2012
Brazil,99.58,51.04,2013
Brazil,99.65,54.55,2014
Brazil,99.71,58.33,2015
Brazil,99.7,60.87,2016
Brazil,99.8,67.47,2017
Brazil,99.7,70.43,2018
Brazil,99.8,73.91,2019
Brazil,99.7,81.34,2020
"Brunei Darussalam",100,53,2010
"Brunei Darussalam",100,56,2011
"Brunei Darussalam",100,60.27,2012
