country,access_to_electricity_percentage,individuals_using_internet_percentage,year
Bahrain,100,99.7,2019
Bahrain,100,99.67,2020
Bangladesh,55.26,3.7,2010
Bangladesh,59.6,4.5,2011
Bangladesh,65.55,5,2012
Bangladesh,61.5,6.63,2013
Bangladesh,62.4,11.9,2014
Bangladesh,74,12.9,2015
Bangladesh,75.92,18.1,2016
Bangladesh,88,19.8,2017
Bangladesh,86.92,23.44,2018
Bangladesh,92.2,27.76,2019
Bangladesh,96.2,32.87,2020
Barbados,100,65.1,2010
Barbados,100,66.5,2011
Barbados,100,71.2,2012
Barbados,100,71.8,2013
Barbados,100,75.16,2014
Barbados,100,76.11,2015
Barbados,100,79.55,2016
Barbados,100,81.76,2017
Barbados,100,82.48,2018
Barbados,100,83.21,2019
Barbados,100,82.46,2020
Belarus,94.38,31.8,2010
Belarus,94.98,39.65,2011
Belarus,95.58,46.91,2012
Belarus,96.18,54.17,2013
Belarus,96.78,59.02,2014
Belarus,97.37,62.23,2015
Belarus,98.04,71.11,2016
Belarus,98.74,74.44,2017
Belarus,99.35,79.13,2018
Belarus,100,82.79,2019
Belarus,100,85.09,2020
Belgium,100,77.64,2010
Belgium,100,81.61,2011
Belgium,100,80.72,2012
Belgium,100,82.17,2013
Belgium,100,85,2014
Belgium,100,85.05,2015
Belgium,100,86.52,2016
Belgium,100,87.68,2017
Belgium,100,88.65,2018
Belgium,100,90.28,2019
Belgium,100,91.53,2020
Belize,89.92,28.2,2010
Belize,91.68,30.7,2011
Belize,90.92,31,2012
Belize,91.13,33.6,2013
Belize,91.47,38.7,2014
Belize,91.8,41.59,2015
Belize,93.26,44.58,2016
Belize,94.15,47.08,2017
Belize,91.72,49.8,2018
Belize,92.72,57.12,2019
Belize,96.81,59.51,2020
Benin,34.2,3.13,2010
Benin,36.9,4.15,2011
Benin,38.4,4.5,2012
Benin,34.65,4.9,2013
Benin,34.1,6,2014
Benin,37.03,14.5,2016
Benin,34.5,18.7,2017
Benin,39.01,19,2018
Benin,40,22.42,2019
Benin,40.99,28.23,2020
Bermuda,100,84.21,2010
Bermuda,100,88.34,2011
Bermuda,100,91.3,2012
Bermuda,100,95.3,2013
Bermuda,100,96.8,2014
Bermuda,100,98.32,2015
Bermuda,100,98,2016
Bermuda,100,98.37,2017
Bhutan,73.28,13.6,2010
Bhutan,81.78,14.4,2011
Bhutan,91.5,15.6,2012
Bhutan,87.42,22.4,2013
Bhutan,91.39,30.3,2014
Bhutan,95.36,39.8,2015
Bhutan,99.32,46.5,2016
Bhutan,97.7,54.3,2017
Bhutan,99.96,63.5,2018
Bhutan,100,74.18,2019
Bhutan,100,79.87,2020
Bolivia,87.95,22.4,2010
Bolivia,88.34,30,2011
Bolivia,90.39,35.34,2012
Bolivia,89.51,36.99,2013
Bolivia,90.04,34.6,2014
Bolivia,91.52,37.49,2015
Bolivia,91.8,39.7,2016
Bolivia,91.8,43.83,2017
Bolivia,92.8,44.29,2018
Bolivia,95.08,47.47,2019
Bolivia,97.22,59.94,2020
"Bosnia and Herzegovina",99.49,42.75,2010
"Bosnia and Herzegovina",99.71,43.89,2011
"Bosnia and Herzegovina",99.72,45.06,2012
"Bosnia and Herzegovina",99.5,48.52,2013
"Bosnia and Herzegovina",99.92,49.92,2014
"Bosnia and Herzegovina",99.7,52.6,2015
"Bosnia and Herzegovina",100,60.26,2016
"Bosnia and Herzegovina",100,64.89,2017
"Bosnia and Herzegovina",100,70.12,2018
"Bosnia and Herzegovina",100,69.95,2019
"Bosnia and Herzegovina",100,73.21,2020
Botswana,52.03,6,2010
Botswana,53.24,9,2011
Botswana,55.97,16,2012
Botswana,57.97,30,2013
Botswana,60.02,36.74,2014
Botswana,62.13,37.31,2015
Botswana,64.2,39.36,2016
Botswana,67.4,41.41,2017
Botswana,68.25,58,2018
Botswana,70.1,64.83,2019
Botswana,71.83,72.75,2020
Brazil,98.6,40.65,2010
Brazil,99.33,45.69,2011
Brazil,99.52,48.56,2012
Brazil,99.58,51.04,2013
Brazil,99.65,54.55,2014
Brazil,99.71,58.33,2015
Brazil,99.7,60.87,2016
Brazil,99.8,67.47,2017
Brazil,99.7,70.43,2018
Brazil,99.8,73.91,2019
Brazil,99.7,81.34,2020
"Brunei Darussalam",100,53,2010
"Brunei Darussalam",100,56,2011
"Brunei Darussalam",100,60.27,2012
"Brunei Darussalam",100,64.5,2013
"Brunei Darussalam",100,68.77,2014
"Brunei Darussalam",100,71.2,2015
"Brunei Darussalam",100,90,2016
"Brunei Darussalam",100,94.87,2017
"Brunei Darussalam",100,95,2018
"Brunei Darussalam",100,95,2019
"Brunei Darussalam",100,96.07,2020
Bulgaria,93.51,46.23,2010
Bulgaria,94.12,47.98,2011
Bulgaria,94.73,51.9,2012
Bulgaria,95.33,53.06,2013
Bulgaria,95.93,55.49,2014
Bulgaria,96.58,56.66,2015
Bulgaria,97.34,59.83,2016
Bulgaria,98.06,63.41,2017
Bulgaria,98.7,64.78,2018
Bulgaria,99.2,67.95,2019
Bulgaria,99.7,70.16,2020
"Cabo Verde",81.1,30,2010
"Cabo Verde",82.26,32,2011
"Cabo Verde",83.25,34.74,2012
"Cabo Verde",84.27,37.5,2013
"Cabo Verde",85.33,40.26,2014
"Cabo Verde",86.42,42.68,2015
"Cabo Verde",87.53,50.32,2016
"Cabo Verde",88.61,57.16,2017
"Cabo Verde",90.2,59.5,2018
"Cabo Verde",91.4,61.94,2019
"Cabo Verde",93.75,63.16,2020
Cambodia,31.1,1.26,2010
Cambodia,37.4,3.1,2011
Cambodia,42.3,4.94,2012
Cambodia,50.9,6,2013
Cambodia,56.1,14,2014
Cambodia,62.72,18,2015
Cambodia,68.76,32.4,2016
Cambodia,89.07,32.9,2017
Cambodia,84,52.31,2019
Cambodia,86.4,53.65,2020
Cameroon,52.85,4.3,2010
Cameroon,53.7,5,2011
Cameroon,55.16,7.5,2012
Cameroon,56.32,10,2013
Cameroon,56.8,16.21,2014
Cameroon,58.62,18.3,2015
Cameroon,59.76,20.6,2016
Cameroon,60.9,23.2,2017
Cameroon,62.2,29.7,2018
Cameroon,63.18,36.54,2019
Cameroon,64.31,45.53,2020
Canada,100,80.3,2010
Canada,100,83,2011
Canada,100,83,2012
Canada,100,85.8,2013
Canada,100,87.12,2014
Canada,100,90,2015
Canada,100,91.16,2016
Canada,100,92.7,2017
Canada,100,94.64,2018
Canada,100,91.91,2019
Canada,100,92.3,2020
"Caribbean small states",93.49,35.59,2010
"Caribbean small states",92.99,42.35,2011
"Caribbean small states",94.48,42.69,2012
"Caribbean small states",94.98,45.16,2013
"Caribbean small states",94.92,48.47,2014
"Caribbean small states",95.76,50.68,2015
"Caribbean small states",96.69,53.04,2016
"Caribbean small states",97.23,58.46,2017
"Caribbean small states",98.03,73.6,2019
"Caribbean small states",98.66,77.96,2020
"Cayman Islands",100,66,2010
"Central Europe and the Baltics",98.96,58.6,2010
"Central Europe and the Baltics",99.08,59.12,2011
"Central Europe and the Baltics",99.19,61.71,2012
"Central Europe and the Baltics",99.31,63.45,2013
"Central Europe and the Baltics",99.41,66.48,2014
"Central Europe and the Baltics",99.52,67.34,2015
"Central Europe and the Baltics",99.64,71.34,2016
"Central Europe and the Baltics",99.87,73.41,2017
"Central Europe and the Baltics",99.88,75.98,2018
"Central Europe and the Baltics",99.95,78.73,2019
"Central Europe and the Baltics",99.98,81.78,2020
Chile,99.53,45,2010
Chile,99.59,52.25,2011
Chile,100,55.05,2012
Chile,99.6,58,2013
Chile,100,61.11,2014
Chile,99.71,76.63,2015
Chile,100,83.56,2016
Chile,99.7,82.33,2017
Chile,100,84.9,2018
Chile,100,85.02,2019
Chile,100,86.37,2020
China,99.7,34.3,2010
China,99.89,38.3,2011
China,99.95,42.3,2012
China,99.99,45.8,2013
China,100,47.9,2014
China,100,50.3,2015
China,100,53.2,2016
China,100,54.3,2017
China,100,59.2,2018
China,100,64.08,2019
China,100,70.05,2020
Colombia,96.79,36.5,2010
Colombia,96.69,40.35,2011
Colombia,97.03,48.98,2012
Colombia,97.78,51.7,2013
Colombia,97.79,52.57,2014
Colombia,98.19,55.9,2015
Colombia,98.4,58.14,2016
Colombia,98.5,62.26,2017
Colombia,98.5,64.13,2018
Colombia,99.44,65.01,2019
Colombia,99.72,69.8,2020
Comoros,69.66,5.1,2010
Comoros,69.33,5.5,2011
Comoros,69.3,5.98,2012
Comoros,69.44,6.5,2013
Comoros,71.76,6.98,2014
Comoros,74.08,7.46,2015
Comoros,76.4,7.94,2016
Comoros,78.71,8.48,2017
Comoros,83.33,16.38,2019
Comoros,85.64,21.16,2020
"Congo, Rep.",40.01,5,2010
"Congo, Rep.",40.82,5.6,2011
"Congo, Rep.",41.6,6.11,2012
"Congo, Rep.",42.5,6.6,2013
"Congo, Rep.",43.4,7.11,2014
"Congo, Rep.",44.33,7.62,2015
"Congo, Rep.",45.28,8.12,2016
"Congo, Rep.",46.21,8.65,2017
"Costa Rica",99,36.5,2010
"Costa Rica",99.23,39.21,2011
"Costa Rica",99.5,47.5,2012
"Costa Rica",99.56,45.96,2013
"Costa Rica",99.36,53,2014
"Costa Rica",99.41,59.76,2015
"Costa Rica",99.5,65.88,2016
"Costa Rica",99.6,71.58,2017
"Costa Rica",99.7,73.48,2018
"Costa Rica",99.71,81.2,2019
"Costa Rica",99.9,80.53,2020
"Cote d'Ivoire",58.37,2.7,2010
"Cote d'Ivoire",55.8,2.9,2011
"Cote d'Ivoire",55.8,4.4,2012
"Cote d'Ivoire",61.45,6.6,2013
"Cote d'Ivoire",61.9,10,2014
"Cote d'Ivoire",62.6,16.7,2015
"Cote d'Ivoire",64.3,41.21,2016
"Cote d'Ivoire",65.6,43.84,2017
"Cote d'Ivoire",67.15,37.55,2018
"Cote d'Ivoire",68.57,36.29,2019
"Cote d'Ivoire",69.88,41.37,2020
Croatia,100,56.55,2010
Croatia,100,57.79,2011
Croatia,100,61.94,2012
Croatia,100,66.75,2013
Croatia,100,68.57,2014
Croatia,100,69.85,2015
Croatia,100,72.7,2016
Croatia,100,67.1,2017
Croatia,100,75.29,2018
Croatia,100,79.08,2019
Croatia,100,78.32,2020
Cuba,97.79,15.9,2010
Cuba,98.02,16.02,2011
Cuba,98.26,21.2,2012
Cuba,98.5,27.93,2013
Cuba,98.73,29.07,2014
Cuba,98.96,37.31,2015
Cuba,99.18,42.98,2016
Cuba,99.4,57.15,2017
Cuba,99.61,62.68,2018
Cuba,99.8,67.97,2019
Cuba,99.93,71.12,2020
Curacao,100,61.86,2016
Curacao,100,68.13,2017
Cyprus,100,52.99,2010
Cyprus,100,56.86,2011
Cyprus,100,60.69,2012
Cyprus,100,65.45,2013
Cyprus,100,69.33,2014
Cyprus,100,71.72,2015
Cyprus,100,75.9,2016
Cyprus,100,80.74,2017
Cyprus,100,84.43,2018
Cyprus,100,86.06,2019
Cyprus,100,90.8,2020
Czechia,100,68.82,2010
Czechia,100,70.49,2011
Czechia,100,73.43,2012
Czechia,100,74.11,2013
Czechia,100,74.23,2014
Czechia,100,75.67,2015
Czechia,100,76.48,2016
Czechia,100,78.72,2017
Czechia,100,80.69,2018
Czechia,100,80.87,2019
Czechia,100,81.34,2020
Denmark,100,88.72,2010
Denmark,100,89.81,2011
Denmark,100,92.26,2012
Denmark,100,94.63,2013
Denmark,100,95.99,2014
Denmark,100,96.33,2015
Denmark,100,96.97,2016
Denmark,100,97.1,2017
Denmark,100,97.32,2018
Denmark,100,98.05,2019
Denmark,100,96.55,2020
Djibouti,57.87,6.5,2010
Djibouti,58.12,7,2011
Djibouti,54.6,9.4,2012
Djibouti,58.64,12.7,2013
Djibouti,58.89,17,2014
Djibouti,59.13,22.9,2015
Djibouti,59.84,30.8,2016
Djibouti,60.2,55.68,2017
Djibouti,62.41,58,2018
Djibouti,64.7,59.34,2019
Djibouti,64.5,61.26,2020
Dominica,91.3,47.45,2010
Dominica,90.1,48.6,2011
Dominica,93.48,49.8,2012
Dominica,94.57,51,2013
Dominica,95.66,57.5,2014
Dominica,96.74,65,2015
Dominica,97.81,67.03,2016
Dominica,98.89,69.62,2017
Dominica,99.92,73.38,2019
Dominica,100,77.07,2020
"Dominican Republic",98.15,31.4,2010
"Dominican Republic",97.9,38,2011
"Dominican Republic",97.87,42.32,2012
"Dominican Republic",98.39,45.9,2013
"Dominican Republic",98.47,49.58,2014
"Dominican Republic",98.56,54.22,2015
"Dominican Republic",98.9,63.87,2016
"Dominican Republic",100,67.57,2017
"Dominican Republic",98.9,74.82,2018
"Dominican Republic",99,79.72,2019
"Dominican Republic",100,82.2,2020
"Early-demographic dividend",79.43,12.79,2010
"Early-demographic dividend",81.2,15.34,2011
"Early-demographic dividend",82.09,17.07,2012
"Early-demographic dividend",83.83,18.96,2013
"Early-demographic dividend",84.79,21.43,2014
"Early-demographic dividend",86.85,24.42,2015
"Early-demographic dividend",88.37,27.13,2016
"Early-demographic dividend",90.53,29.9,2017
"Early-demographic dividend",92.04,32.75,2018
"Early-demographic dividend",92.83,39.59,2019
"Early-demographic dividend",93.49,48.18,2020
"East Asia & Pacific",95.56,34.23,2010
"East Asia & Pacific",96.03,37.35,2011
"East Asia & Pacific",96.25,40.4,2012
"East Asia & Pacific",96.48,43.26,2013
"East Asia & Pacific",96.65,46.06,2014
"East Asia & Pacific",96.96,48.86,2015
"East Asia & Pacific",97.04,52.24,2016
"East Asia & Pacific",97.7,54.38,2017
"East Asia & Pacific",97.67,59.43,2018
"East Asia & Pacific",97.87,63.67,2019
"East Asia & Pacific",97.8,68.9,2020
"East Asia & Pacific (IDA & IBRD countries)",95.9,29.28,2010
"East Asia & Pacific (IDA & IBRD countries)",96.41,32.74,2011
"East Asia & Pacific (IDA & IBRD countries)",96.63,36.14,2012
"East Asia & Pacific (IDA & IBRD countries)",96.86,38.73,2013
"East Asia & Pacific (IDA & IBRD countries)",97.02,41.17,2014
"East Asia & Pacific (IDA & IBRD countries)",97.34,44.12,2015
"East Asia & Pacific (IDA & IBRD countries)",97.41,47.65,2016
"East Asia & Pacific (IDA & IBRD countries)",98.12,50.06,2017
"East Asia & Pacific (IDA & IBRD countries)",98.05,55.75,2018
"East Asia & Pacific (IDA & IBRD countries)",98.26,60.22,2019
"East Asia & Pacific (IDA & IBRD countries)",98.14,66.17,2020
"East Asia & Pacific (excluding high income)",95.07,28.92,2010
"East Asia & Pacific (excluding high income)",95.6,32.34,2011
"East Asia & Pacific (excluding high income)",95.84,35.69,2012
"East Asia & Pacific (excluding high income)",96.1,38.26,2013
"East Asia & Pacific (excluding high income)",96.29,41.17,2014
"East Asia & Pacific (excluding high income)",96.64,44.12,2015
"East Asia & Pacific (excluding high income)",96.72,47.65,2016
"East Asia & Pacific (excluding high income)",97.46,50.06,2017
"East Asia & Pacific (excluding high income)",97.42,55.75,2018
"East Asia & Pacific (excluding high income)",97.65,60.22,2019
"East Asia & Pacific (excluding high income)",97.56,66.17,2020
Ecuador,97.46,29.03,2010
Ecuador,96.87,31.37,2011
Ecuador,97.19,35.14,2012
Ecuador,98.03,40.28,2013
Ecuador,98.98,45.59,2014
Ecuador,98.83,48.94,2015
Ecuador,98.7,54.06,2016
Ecuador,99.2,55.8,2017
Ecuador,98.7,57.5,2018
Ecuador,99.09,59.2,2019
Ecuador,98.85,70.7,2020
"Egypt, Arab Rep.",99.36,21.6,2010
"Egypt, Arab Rep.",99.44,25.6,2011
"Egypt, Arab Rep.",99.7,26.4,2012
"Egypt, Arab Rep.",99.88,29.4,2013
"Egypt, Arab Rep.",99.8,33.89,2014
"Egypt, Arab Rep.",99.3,37.82,2015
"Egypt, Arab Rep.",100,41.25,2016
"Egypt, Arab Rep.",100,44.95,2017
"Egypt, Arab Rep.",100,46.92,2018
"Egypt, Arab Rep.",100,57.28,2019
"Egypt, Arab Rep.",100,71.91,2020
"El Salvador",91.58,15.9,2010
"El Salvador",92.57,18.9,2011
"El Salvador",93.68,20.32,2012
"El Salvador",95.04,23.11,2013
"El Salvador",95.13,24.76,2014
"El Salvador",95.4,26.8,2015
"El Salvador",96,29,2016
"El Salvador",96.8,33.82,2017
"El Salvador",97,43.8,2018
"El Salvador",97.36,50.49,2019
"El Salvador",99.72,54.6,2020
"Equatorial Guinea",66.12,6,2010
"Equatorial Guinea",66.1,11.5,2011
"Equatorial Guinea",65.75,13.94,2012
"Equatorial Guinea",65.88,16.4,2013
"Equatorial Guinea",66,18.86,2014
"Equatorial Guinea",66.12,21.32,2015
"Equatorial Guinea",66.24,23.78,2016
"Equatorial Guinea",66.35,26.24,2017
"Equatorial Guinea",66.57,49.13,2019
"Equatorial Guinea",66.68,53.84,2020
Eritrea,40.06,0.61,2010
Eritrea,41.2,0.7,2011
Estonia,100,74.1,2010
Estonia,100,76.5,2011
Estonia,100,78.39,2012
Estonia,100,80,2013
Estonia,100,84.24,2014
Estonia,100,88.41,2015
Estonia,100,87.24,2016
Estonia,100,88.1,2017
Estonia,100,89.36,2018
Estonia,100,90.23,2019
Estonia,100,89.06,2020
Eswatini,45.55,11.04,2010
Eswatini,51.18,18.13,2011
Eswatini,54.3,20.78,2012
Eswatini,57.53,24.7,2013
Eswatini,65,25,2014
Eswatini,64.12,25.64,2015
Eswatini,63.43,28.57,2016
Eswatini,73.5,35.3,2017
Eswatini,73.96,43.7,2018
Eswatini,77.03,54.03,2019
Eswatini,79.99,56.42,2020
Ethiopia,30.78,4.6,2013
Ethiopia,42.9,15.37,2016
Ethiopia,44.3,15.6,2017
Ethiopia,44.84,15.9,2018
Ethiopia,48.05,16.15,2019
Ethiopia,51.14,16.42,2020
"Euro area",100,70.9,2010
"Euro area",100,71.8,2011
"Euro area",100,73.94,2012
"Euro area",100,75.72,2013
"Euro area",100,76.98,2014
"Euro area",100,77.4,2015
"Euro area",100,77.93,2016
"Euro area",100,79.52,2017
"Euro area",100,82.91,2018
"Euro area",100,83.35,2019
"Euro area",100,85.21,2020
"Europe & Central Asia",99.66,57.03,2010
"Europe & Central Asia",99.66,60.19,2011
"Europe & Central Asia",99.83,63.87,2012
"Europe & Central Asia",99.85,66.18,2013
"Europe & Central Asia",99.88,68.83,2014
"Europe & Central Asia",99.17,69.88,2015
"Europe & Central Asia",99.83,72.31,2016
"Europe & Central Asia",99.96,74.5,2017
"Europe & Central Asia",99.97,78.92,2018
"Europe & Central Asia",99.95,81.29,2019
"Europe & Central Asia",99.98,83.72,2020
"Europe & Central Asia (IDA & IBRD countries)",99.31,40.05,2010
"Europe & Central Asia (IDA & IBRD countries)",99.33,45.41,2011
"Europe & Central Asia (IDA & IBRD countries)",99.65,50.72,2012
"Europe & Central Asia (IDA & IBRD countries)",99.7,53.56,2013
"Europe & Central Asia (IDA & IBRD countries)",99.75,57.56,2014
"Europe & Central Asia (IDA & IBRD countries)",98.33,59.39,2015
"Europe & Central Asia (IDA & IBRD countries)",99.66,63.3,2016
"Europe & Central Asia (IDA & IBRD countries)",99.93,67.01,2017
"Europe & Central Asia (IDA & IBRD countries)",99.94,73.1,2018
"Europe & Central Asia (IDA & IBRD countries)",99.9,77.06,2019
"Europe & Central Asia (IDA & IBRD countries)",99.95,80.1,2020
"Europe & Central Asia (excluding high income)",99.36,37.6,2010
"Europe & Central Asia (excluding high income)",99.35,43.89,2011
"Europe & Central Asia (excluding high income)",99.71,49.68,2012
"Europe & Central Asia (excluding high income)",99.75,52.68,2013
"Europe & Central Asia (excluding high income)",99.79,56.71,2014
"Europe & Central Asia (excluding high income)",98.12,58.6,2015
"Europe & Central Asia (excluding high income)",99.66,62.4,2016
"Europe & Central Asia (excluding high income)",99.91,66.3,2017
"Europe & Central Asia (excluding high income)",99.94,72.75,2018
"Europe & Central Asia (excluding high income)",99.88,76.87,2019
"Europe & Central Asia (excluding high income)",99.94,79.89,2020
"European Union",99.76,68.73,2010
"European Union",99.78,69.63,2011
"European Union",99.81,71.83,2012
"European Union",99.84,73.59,2013
"European Union",99.86,75.17,2014
"European Union",99.89,75.66,2015
"European Union",99.92,76.91,2016
"European Union",99.97,78.7,2017
"European Union",99.97,81.74,2018
"European Union",99.99,82.75,2019
"European Union",100,84.77,2020
"Faroe Islands",100,75.2,2010
"Faroe Islands",100,80.73,2011
"Faroe Islands",100,85.34,2012
"Faroe Islands",100,90,2013
"Faroe Islands",100,93.3,2014
"Faroe Islands",100,94.2,2015
"Faroe Islands",100,95.11,2016
"Faroe Islands",100,97.58,2017
Fiji,92.4,20,2010
Fiji,92.5,28,2011
Fiji,92.62,33.74,2012
Fiji,91.75,35.2,2013
Fiji,92.95,37.4,2014
Fiji,93.18,42.5,2015
Fiji,93.42,49.42,2016
Fiji,96,65.78,2017
Fiji,95.06,68.9,2018
Fiji,96.09,77.19,2019
Fiji,97.13,84.88,2020
Finland,100,86.89,2010
Finland,100,88.71,2011
Finland,100,89.88,2012
Finland,100,91.51,2013
Finland,100,86.53,2014
Finland,100,86.42,2015
Finland,100,87.7,2016
Finland,100,87.47,2017
Finland,100,88.89,2018
Finland,100,89.61,2019
Finland,100,92.17,2020
"Fragile and conflict affected situations",46.08,8.4,2010
"Fragile and conflict affected situations",47.93,9.78,2011
"Fragile and conflict affected situations",48.99,11.79,2012
"Fragile and conflict affected situations",50.62,13.63,2013
"Fragile and conflict affected situations",50.03,15.83,2014
"Fragile and conflict affected situations",50.08,18.39,2015
"Fragile and conflict affected situations",54.19,20.73,2016
"Fragile and conflict affected situations",54.56,23.94,2017
"Fragile and conflict affected situations",54.59,26.98,2018
"Fragile and conflict affected situations",55.5,30.05,2019
"Fragile and conflict affected situations",56.35,34.43,2020
France,100,77.28,2010
France,100,77.82,2011
France,100,81.44,2012
France,100,81.92,2013
France,100,83.75,2014
France,100,78.01,2015
France,100,79.27,2016
France,100,80.5,2017
France,100,82.04,2018
France,100,83.34,2019
France,100,84.71,2020
"French Polynesia",100,49,2010
"French Polynesia",100,49,2011
"French Polynesia",100,52.88,2012
"French Polynesia",100,56.8,2013
"French Polynesia",100,60.68,2014
"French Polynesia",100,64.56,2015
"French Polynesia",100,68.44,2016
"French Polynesia",100,72.7,2017
Gabon,89.33,13,2010
Gabon,88.73,18,2011
Gabon,89.3,24,2012
Gabon,86.4,30.54,2013
Gabon,87.08,38.07,2014
Gabon,87.33,45.78,2015
Gabon,88.08,48.05,2016
Gabon,86.27,50.32,2017
Gabon,89.57,59.6,2018
Gabon,90.32,68.69,2019
Gabon,91.06,70.79,2020
