GDP per capita,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
2439.374441188,Angola,01-01-2017,36.714526350,54.762629341,1246700,1010,20.054068688,-1.444333076,0.150555417,42.906242371,56.25,,25064.8,82023.70755,24.230871902,29.842577789,-5.552638283,-0.541816285,,,9.223777502,16.671137233,-0.951664865,0.210764751,0.361,,,46.689583333,26,,2.507982806,73690155046.555,-0.389134824,0.212915167,-1.039731503,0.181900293,-1.045097113,0.220853910,2.466878891,1.29295039,,,40.81,8.242,61.68,30208628,10621656,-1.094524503,0.123151883,
2540.508877970,Angola,01-01-2018,36.730568701,54.317405952,1246700,1010,13.493442303,-1.199250937,0.157753244,45.29,55.94,,23637.4,74848.14556,25.085050934,19.630594364,-5.844003353,7.545545694,,,9.644778503,15.607658096,-1.005115032,0.220668674,0.360190958,,,55.232083333,29,2.05,1.955786810,79450688232.0011,-0.347750902,0.213976681,-1.000932217,0.173731342,-0.800683141,0.218948662,2.044701338,1.10391033,,51.3,40.236,7.99,62.144,31273533,10784991,-0.903365195,0.127947271,
1450.905112185,Angola,01-01-2020,36.810780460,53.426951151,1246700,1010,11.689428271,-0.938672543,0.163808867,46.955444336,61.02,,19814.5,70781.0562,26.813576642,22.271564307,8.028656853,3.158858161,,,,,-1.258393884,0.226563811,0.362405390,,,58.163333333,32.55014678,,1.700178161,48501561230.001,-0.600726008,0.217306077,-0.950999379,0.159591347,-0.856853485,0.233334079,2.744996548,1.22474134,,,39.271,7.821,62.261,33428486,11089900,-0.816002846,0.123469397,
18133.822600895,Antigua and Barbuda,01-01-2018,20.454545455,18.75,440,1030,90.589545428,0.236239702,0.264159143,100,0.7,,508.6,1185.478236,208.240909091,1.207157934,7.408062670,6.996532,,,,,-0.053470802,0.456688792,0.578216970,,,,,,,1661529629.62963,0.822919726,0.249047264,0.376565635,0.317118675,0.401309967,0.360325933,3.239021063,2.91282296,,,10.816,5.787,78.511,91626,69087,0.579138517,0.240733564,13.096790741
15224.858589056,Antigua and Barbuda,01-01-2020,20.454545455,18.454545455,440,1030,60.692517651,0.238533273,0.252231359,100,0.74,,474.6,1203.631334,210.6,0.625989707,6.829130405,,,,,,-0.204486713,0.492229521,0.595703900,,,44.142083333,95.68550784,,,1410796296.2963,0.929504931,0.270491451,0.407973528,0.337146521,0.497693717,0.371042728,,3.38136292,,,12.16,5.961,78.841,92664,70023,0.742793262,0.210280597,9.712509713
10385.964431956,Argentina,01-01-2010,46.138912336,11.040344358,2736690,591,6.476888402,-0.355230033,0.156813934,98.82,8.79,2877.652653313,167226.3,342496.5143,14.904301547,,-8.566028720,,0.561039984,,12.853042690,,-0.111791946,0.204734981,0.588557065,,176.1,,45,3.1,0.814878105,423627422092.49,-0.084797867,0.239330947,-0.598094225,0.144613743,-0.742940903,0.186796233,5.019710064,5.56834269,,43.7,17.87,7.661,75.721,40788453,3732551,0.361670136,0.112328812,5.800469259
14613.035648657,Argentina,01-01-2017,42.986381359,10.559836883,2736690,591,6.324743119,-0.308798343,0.123801619,100,10.37,,179267.3,379420.2746,16.094190793,,0.455892832,,0.556309998,,10.939623860,24.282532042,0.135000482,0.199835479,0.611,,88.2,65.085833333,74.29490687,,0.856137916,643628393281.364,0.162541434,0.209813088,-0.238357037,0.154258609,-0.196299896,0.191425934,5.454319954,6.59935713,,41.4,16.206,7.692,76.833,44044811,3634137,0.528666615,0.125743672,5.259380765
11795.162745280,Argentina,01-01-2018,42.371536308,10.520373152,2736690,591,7.549179198,-0.098668173,0.126671717,99.993736267,10.52,,176894.6,378187.3624,16.258510098,,4.564409099,,0.494349986,,9.992390084,22.687780625,0.028094053,0.200503990,0.617366731,,,65.272916667,77.7,2.89,0.732300348,524819892360.176,0.006809914,0.208318025,-0.219662562,0.146176517,-0.195977628,0.191480890,4.877739906,5.96251631,,41.7,15.187,7.68,76.999,44494502,3617403,0.539418399,0.127886236,5.367725685
8500.837938505,Argentina,01-01-2020,43.029265171,10.440714878,2736690,591,5.578817238,-0.163780659,0.143402383,100,9.84,,154535.9,361433.0173,16.580892611,,-7.635174216,,0.541540027,,10.865896382,25.840530764,-0.253818214,0.231793165,0.602144718,,,65.2775,85.51438646,,0.734492612,385740508436.965,-0.072026245,0.226481333,-0.487334788,0.146567494,-0.498344272,0.202663422,5.279640198,6.6165266,,42.7,14.125,8.509,75.892,45376763,3579773,0.585294366,0.127261952,5.366813844
4041.995071051,Armenia,01-01-2017,58.872497366,11.559536354,28470,562,33.693060549,-0.636488140,0.133002043,99.7,12.56,,5371.3,9251.278735,100.172918862,0.969553269,11.997339958,7.677893342,0.227880001,,20.780653359,22.629724992,-0.251172304,0.209040567,0.572,,,81.37625,64.74488433,,3.849730577,11527458709.0158,-0.626211226,0.219212145,-0.209941223,0.159550935,0.228407964,0.215175807,2.707590103,1.37250602,25.8,33.6,13.606,9.664,74.906,2851923,1052274,-0.560794771,0.130534723,2.454484220
4391.923269915,Armenia,01-01-2018,58.914646997,11.552160169,28470,562,35.270090102,-0.408891350,0.139696091,99.9,11.13,,5712.2,9443.729713,99.633192835,2.520233820,9.733977399,6.574650261,0.188759997,,20.870103903,22.076813756,-0.170385882,0.220806867,0.581725955,,,82.390416667,68.24505226,2.61,4.119886153,12457940694.7395,-0.451120526,0.217243075,-0.197333530,0.152271360,0.350590289,0.214424282,2.255867958,1.23468125,23.6,34.4,13.307,9.75,75.064,2836557,1045300,-0.130894393,0.133988872,1.762700344
4505.867741757,Armenia,01-01-2020,58.868984896,11.537407798,28470,562,16.458521269,-0.003438700,0.157668769,100,8.38,,6746.6,10422.04117,98.546118721,1.211435778,9.639110340,5.797729686,0.209199995,63.401214007,21.860419276,26.581287778,-0.304616541,0.249917418,0.578998804,,7.2,82.938333333,76.50770055,,4.982543724,12641698583.2152,-0.771642268,0.237614140,-0.125852257,0.149982378,0.238748029,0.233334079,2.705559969,2.35682821,19.1,25.1,12.455,12.792,72.173,2805608,1029293,0.047159709,0.130757630,1.853430370
52147.024194284,Australia,01-01-2010,48.992098720,16.862931674,7682300,534,9.591373564,2.023610830,0.147419170,100,8.16,10726.928183190,395993.2,589473.4613,2.867858584,2.918340027,6.057533614,2.837916667,2.370749950,28.662101027,20.477069200,26.703777501,1.763391376,0.227385253,0.754843771,,,,76,3.84,1.852928258,1148890200292.42,0.888859868,0.239330947,1.757718325,0.157016754,1.695976734,0.235530734,5.538119793,6.09483814,,34.7,13.7,6.5,81.695121951,22031750,3264665,1.419765472,0.146318108,1.049085936
53954.553494614,Australia,01-01-2017,48.340617939,17.422913617,7692020,534,10.065434669,1.752321124,0.128900468,100,9.65,,397149.4,647518.2719,3.197156014,1.948647409,1.538107312,,1.879770041,53.264221787,22.088715444,26.607755695,1.498270750,0.221605092,0.803,,,89.063333333,86.54504885,,2.004234077,1326882104817,0.876146674,0.201735362,1.644588470,0.162464306,1.922535539,0.220789850,5.138229847,7.21655941,,,12.6,6.5,82.5,24592588,3466571,1.377729177,0.137973666,0.845860834
57273.520475008,Australia,01-01-2018,46.658095013,17.421314557,7692020,534,10.039488597,1.767377615,0.138461649,100,9.6,,396059.9,642275.8577,3.245344916,1.911400944,3.319652913,,,54.429696920,23.177203057,26.194072413,1.556063771,0.221195087,0.780833960,,,88.364166667,90,3.75,1.895670079,1429733668185.91,0.970811963,0.202375144,1.674555540,0.155484006,1.896577239,0.222046480,5.124310017,7.20352697,,34.3,12.6,6.3,82.748780488,24963258,3491861,1.393920898,0.139636368,0.884735038
51868.247556782,Australia,01-01-2020,46.252479843,17.421314557,7692020,534,6.715293028,1.632955909,0.151016146,100,10.89,,378996.8,571903.1199,3.334526951,0.846905537,,,,69.219055950,22.557515426,30.210450681,1.573775530,0.253219694,0.770239532,,,85.727916667,96.39446689,,2.010640099,1330381544909.3,0.861676931,0.208693087,1.614245057,0.152624100,1.813946962,0.233886927,5.608449936,7.99613142,,,11.5,6.3,83.2,25649248,3529080,1.298030496,0.140298322,0.860925459
46903.761585434,Austria,01-01-2010,33.679108095,46.815317499,82520,1110,23.318470365,1.596122026,0.153291345,100,31.15,8382.711154453,69965.1,83550.95772,101.350024237,1.813534390,,,2.726099968,85.786269827,25.281635506,46.426809713,1.812521100,0.218765646,0.737782121,,,,75.17,3.76,0.821232712,392275107258.667,1.152648211,0.239330947,1.801202655,0.154795170,1.450515866,0.235530734,5.700479984,7.39957857,18.9,30.3,9.4,9.2,80.580487805,8363404,3562894,1.430290699,0.146318108,0.729418239
47429.158456439,Austria,01-01-2017,32.169413476,47.120455647,82520,1110,29.471540453,1.500462890,0.125844866,100,33.97,,65867.7,78699.13623,106.611318468,2.081269114,,,3.056560040,89.405408847,25.422226176,44.329887110,1.467408299,0.208749488,0.793,,,87.89625,87.93558659,,0.757279034,417261151844.977,1.029623389,0.209813088,1.799017429,0.158714339,1.427534103,0.220789850,5.371590137,7.66504908,18.1,29.7,10,9.5,81.643902439,8797566,3686708,1.385919213,0.121724494,0.795680953
51466.556563363,Austria,01-01-2018,32.147721764,47.163960252,82520,1110,30.757587871,1.568366051,0.135948211,100,34.08,,63131.4,75582.15688,107.131858943,1.998379814,,,3.091820002,84.215491885,25.417502122,43.724710374,1.456104994,0.209096208,0.768673122,,,89.505,87.47913723,4.03,0.745028040,454991174096.102,0.884671748,0.208318025,1.853449583,0.152301222,1.524036407,0.222046480,5.226550102,7.705019,17.5,30.8,9.7,9.5,81.692682927,8840521,3686762,1.399156690,0.123570561,0.972794281
48789.497849887,Austria,01-01-2020,31.539813379,47.250969462,82520,1110,27.738147236,1.477789164,0.149796650,100,35.77,,59142.4,71017.8287,108.057004363,1.381910634,,,3.201489925,99.909697973,24.415139802,50.574651172,1.606263638,0.231866837,0.746739745,,,89.779166667,87.52942813,,0.884127145,435049316955.737,0.887528837,0.226481333,1.770163417,0.150381744,1.395227313,0.233886927,5.569009781,8.763134,17.5,29.8,9.4,10.3,81.192682927,8916864,3678385,1.394437790,0.111107700,0.729699453
5843.533768358,Azerbaijan,01-01-2010,57.670344561,12.491465834,82656,447,12.139832945,-1.245373249,0.132654101,99.947662354,4.45,1603.431374065,24311.9,44320.75057,109.542344173,5.726872247,6.300701700,18.870833333,0.218480006,6.385575792,12.157776993,20.872483221,-0.813017130,0.199530587,0.497457385,,,,46,2.64,2.791004357,52909294791.9262,-0.238546923,0.243547097,-0.891145051,0.127325237,-0.392555356,0.155499339,2.780620098,1.01077783,,,18.3,5.9,69.529,9054332,4218775,-1.304597020,0.125451848,2.230112418
4147.198142322,Azerbaijan,01-01-2017,57.795601365,13.273146065,82662,447,31.214200502,-0.906025290,0.133002043,100,1.91,,31957,51758.38444,119.208741623,12.935918419,0.318577983,2.215833333,0.184680000,,13.164045506,27.958730583,-0.171281099,0.209040567,0.597,,,60.375,79,,3.756301732,40866627351.9817,-0.751900971,0.219212145,-0.584700108,0.159550935,-0.372240543,0.215175807,2.473819971,1.00201261,,,14.6,5.8,72.248,9854033,4400516,-1.563635707,0.129231423,1.807067361
4739.794312341,Azerbaijan,01-01-2018,57.825392600,13.413930360,82654,447,24.480099422,-0.852769494,0.139696091,100,1.93,,32728.1,53176.47097,120.257591889,2.268546904,4.691769978,,0.184159994,,12.971271787,21.402262398,-0.145044252,0.220806867,0.629312158,,,68.15625,79.79999549,,3.562401234,47112470051.7701,-0.711426675,0.217243075,-0.619775176,0.152271360,-0.314388335,0.214424282,2.455430031,0.92868203,,,14,5.8,72.76,9939771,4405307,-1.508211613,0.132563353,1.940404657
4229.910649045,Azerbaijan,01-01-2020,57.838249885,13.694189676,82646,447,19.163301568,-1.077084064,0.164010197,100,1.23,,34305,55351.99383,122.124736829,2.759809470,26.536821284,,0.223900005,22.189999463,15.185572507,33.931476575,-0.155563846,0.271498591,0.577767551,,,70.867083333,84.59999573,,5.390494994,42693000000,-0.852247477,0.237614140,-0.730720103,0.154000342,-0.336040139,0.237654984,4.332049847,1.58928382,,,12.5,7.5,66.868,10093121,4400904,-1.541516423,0.129524559,2.236277062
21186.814329228,Bahrain,01-01-2010,11.614173228,0.682414698,762,83,23.872100155,0.179316193,0.183313146,100,0,18442.790107486,25965.7,40906.21441,1592.709973753,1.961884683,-0.180215876,6.416458333,,,,,0.432563066,0.225383639,0.604912281,,,,55,3.37,3.277755942,25713271276.5957,-0.493476391,0.243547097,0.429740220,0.159763604,0.712015808,0.204706118,,2.6662631,,,15.845,1.883,78.748,1213645,137943,-0.965909421,0.118176535,0.164792903
24349.909870133,Bahrain,01-01-2017,10.397435897,0.820512821,780,83,53.976791367,-0.171140954,0.160482317,100,0,,30514.9,50342.13908,1867.735897436,1.386718306,,,,,,,0.136370823,0.242175817,0.668,,,46.998333333,95.87813575,,4.320737742,35473776595.7447,-0.958746016,0.222477973,0.419263840,0.191494137,0.401120424,0.229953572,2.324520111,2.5667879,,,14.506,2.039,79.689,1456834,157542,-1.387257457,0.140938640,0.411852002
25415.846624947,Bahrain,01-01-2018,10.411311054,0.848329049,778,83,52.520995101,-0.176231503,0.177848294,100,0,,30844.4,51257.81097,1911.748071979,2.087669380,,,,,,,0.119554743,0.245661780,0.663898766,,,52.8175,98.64467258,2.93,4.041086253,37802005319.1489,-0.846307814,0.221038386,0.383981407,0.182208404,0.405416608,0.228286117,2.808009863,2.42827972,,,13.818,1.992,79.857,1487340,159339,-1.418065310,0.146643668,0.336170726
23433.187236257,Bahrain,01-01-2020,10.318471338,0.891719745,785,83,61.087896444,-0.093593940,0.192951337,100,0,,32470.2,54151.41004,1882.126114650,-2.317706293,,,,,,,0.390768141,0.256462783,0.652472019,,,60.0125,99.67103159,,4.045649510,34621807712.766,-0.610109270,0.237614140,0.455399364,0.168031543,0.614857495,0.242797241,2.552374601,2.96118394,,,12.621,2.239,79.174,1477469,155046,-1.453301787,0.143680483,0
1815.610261802,Bangladesh,01-01-2017,73.452638857,14.468771606,130170,2666,4.210319185,-0.858938634,0.129406631,88,28.01,,87658,205028.6288,1242.943566106,5.702070157,4.276540120,6.188541667,,,6.997142331,7.639874039,-0.751890540,0.202651381,0.479,,,59.262083333,19.8,,1.127581108,293754781336,-1.253626704,0.213935792,-0.681922019,0.156262264,-0.826628149,0.181634173,1.850400329,0.5911361,,,18.495,5.442,71.788,161793964,103777884,-0.615030944,0.126059189,2.193530539
1963.412492196,Bangladesh,01-01-2018,73.959437658,14.468771606,130170,2666,4.687704564,-0.926946819,0.131421953,86.915283203,25.79,,95944.6,214432.3367,1257.462994546,5.543621395,3.634315213,7.278071667,,,7.731773045,7.494145870,-0.762530446,0.211029276,0.458553284,,,59.020833333,23.44,2.58,1.153957535,321379127909.353,-0.985568643,0.212307975,-0.649730861,0.150055438,-0.849186778,0.183543772,1.655891299,0.56958538,,,18.462,5.241,72.567,163683958,103723251,-0.742027104,0.129264027,2.339874993
2233.305901298,Bangladesh,01-01-2020,76.269493739,14.468771606,130170,2666,3.729971490,-1.003677249,0.142335027,96.2,27.96,,85493.1,206570.3527,1286.171552585,5.691074747,4.289204994,3.527705556,,,7.001536744,8.148320246,-0.779725730,0.239954218,0.464036435,,,61.802916667,32.87,,1.244689509,373902197869.16,-0.915807784,0.232469827,-0.567928970,0.148829639,-0.906213522,0.200522900,1.765280604,0.47426897,,,18.053,5.816,71.968,167420951,103504655,-0.769557953,0.127704129,
6542.864539844,Belarus,01-01-2020,40.797122869,43.194403389,202980,618,22.216408717,-0.133964226,0.154339179,100,8.39,,54801.5,87868.32147,46.211212927,5.548143575,-2.543290175,,0.539009988,,12.022907199,29.928139684,-0.829508960,0.279950619,0.700078189,,,81.312916667,85.08791245,,1.152879226,61371755326.2351,-0.887608171,0.232469827,-1.082241893,0.146188349,-0.799875796,0.224675119,4.862639904,4.54088545,,24.4,9.47,16.553,72.457219512,9379952,1924485,-1.453498125,0.126235649,
44184.946353964,Belgium,01-01-2010,44.772126816,22.783025099,30280,847,38.608439335,1.473829985,0.155030310,100,6.25,8393.949623269,106872.8,124908.4666,359.827807133,2.189299204,,,2.061880112,93.206454396,24.468242422,43.579571631,1.654209852,0.218765646,0.752726853,,,,77.63978551,3.94,1.090488217,481420882905.001,0.810646176,0.239330947,1.417852521,0.154795170,1.282815099,0.235530734,6.442590237,7.77896738,20.8,28.4,11.9,9.7,80.182926829,10895586,255937,1.360686898,0.146318108,
44198.482390869,Belgium,01-01-2017,43.824306473,22.764200793,30280,847,46.347110119,1.403884411,0.124809504,100,9.66,,92587.4,108193.7955,375.665719947,2.125970860,,,2.666660070,103.883627921,23.448258971,39.955524108,1.240593195,0.208749488,0.757,,,75.582083333,87.67968082,,0.883563446,502764720556.354,0.417606324,0.209813088,1.319779158,0.158714339,1.233276129,0.220789850,6.425340176,8.30055332,20.6,27.4,10.5,9.6,81.492682927,11375158,231939,1.338489175,0.121724494,
47544.981147276,Belgium,01-01-2018,44.715984148,22.764200793,30280,847,45.691900819,1.429420352,0.134504512,100,10.65,,93523.2,108952.4335,377.379590489,2.053164999,,,2.860179901,101.392739456,24.008566011,39.893094415,1.224721551,0.209096208,0.762759745,,,82.1875,88.647343,4.04,0.891358085,543299066998.902,0.393630445,0.208318025,1.338616490,0.152301222,1.259039402,0.222046480,6.381070137,8.33381271,20,27.2,10.4,9.7,81.595121951,11427054,228427,1.330212235,0.123570561,
45609.003493611,Belgium,01-01-2020,45.066357332,22.764200793,30280,847,45.184502993,1.445956349,0.154146329,100,12.28,,85364.1,100063.4878,381.063540291,0.740791812,,,3.396970034,119.241639785,22.011938421,44.027240939,1.078783035,0.248788178,0.760419667,,95.5,81.948333333,91.52641629,,1.014513524,526264230147.394,0.521023035,0.226481333,1.328004122,0.154432774,1.343635798,0.238239184,6.812329769,8.75983047,18.9,26,9.9,11,80.695121951,11538604,221657,1.278445244,0.111107700,
1009.489494785,Benin,01-01-2010,32.369634622,32.237938985,112760,1039,9.354934700,-0.665382147,0.161181778,34.2,47.19,92.952250281,4825.1,10475.73048,83.768268890,2.207835325,4.195490191,,,,,,-0.609903872,0.188161686,0.365584791,,,,3.13,2.79,,9535345015.78355,0.261260122,0.254323483,-0.673685908,0.136871442,-0.401749998,0.154649392,3.679970026,0.7244271,,,39.332,10.461,58.363,9445710,5375270,0.314489126,0.129912928,
1095.274459051,Benin,01-01-2017,35.030152536,29.134001419,112760,1039,8.088513582,-0.577509105,0.160594538,34.5,45.38,,6876.2,13973.67292,102.844794253,1.769412474,7.329027718,,,,,,-0.697799921,0.180707812,0.406,,,48.670416667,18.7,,0.920613124,12701655845.9612,0.026251886,0.228199601,-0.644662261,0.154276729,-0.523228943,0.179473728,3.535589933,0.8144033,,,38.678,9.592,59.856,11596779,6173197,0.381144017,0.128555849,1.127497407
1194.438214271,Benin,01-01-2018,35.030152536,28.690581767,112760,1039,8.918925754,-0.391388416,0.150584638,39.009422302,43.97,,7604,15267.36586,105.894670096,0.644803622,6.052308163,,,,,,-0.631400347,0.176736549,0.396950334,,,50.129583333,19,2.75,0.632857540,14262408079.7014,-0.147074759,0.225225404,-0.691577911,0.147932187,-0.393426120,0.175995961,2.931619883,0.49088362,,37.9,38.186,9.428,60.14,11940683,6291307,0.248301506,0.134342417,
1240.733155370,Benin,01-01-2020,35.030152536,27.803742462,112760,1039,8.288715926,-0.040327787,0.160016105,40.985931396,46.2,,7980.4,16190.53196,112.124184108,3.022721197,3.557093414,,,,,,-0.290780723,0.203921765,0.400290728,,,56.3625,28.22915416,,0.458762015,15686741893.5187,-0.443083793,0.247393817,-0.764496326,0.145294592,-0.483431756,0.185804695,2.939019918,0.86860555,,,37.114,9.364,60.088,12643123,6521955,-0.073199019,0.128708661,
3181.339747217,Bhutan,01-01-2020,13.450445726,71.449396959,38140,2200,14.659011238,1.618236542,0.194336817,100,88.39,,1035.2,1630.8557,20.254483482,5.629365226,8.275097110,,,111.007897250,12.284637836,24.076160249,0.300448269,0.298296720,0.475297034,,,50.891666667,79.86984884,,,2457604042.76364,1.013411403,0.247393817,0.579251528,0.166597947,-0.330750853,0.243339539,5.980710506,3.4102993,,,12.65,6.545,71.609,772506,445612,0.151467398,0.141360000,2.459527822
5327.392304220,Bosnia and Herzegovina,01-01-2017,43.515625,42.732617187,51200,1028,14.698424277,-0.553566337,0.146631703,100,18.49,,22692.7,27759.41257,67.188027344,,2.555420954,,0.197799996,47.371562985,19.987649865,33.889925287,-0.518492341,0.225179777,0.618,,,55.202083333,64.89202051,,0.864182680,18326373366.1105,-0.351470172,0.222265065,-0.200647950,0.153321818,-0.057659734,0.211511910,,6.26775646,,,9.02,11.842,76.935,3440027,1793080,-0.205769211,0.127954677,1.220920650
