country,rural_population_percentage,birth_rate
Romania,59.68099984997826,21.1
Russian Federation,37.52899987730437,14.725
Rwanda,96.80599902421922,48.797
Samoa,79.64712721771228,40.652
Sao Tome and Principe,70.48193547555522,38.167
Saudi Arabia,51.331001601489376,49.833
Senegal,70.00000457902294,49.478
Serbia,60.25599541021228,15.391
Sierra Leone,76.03101178057531,47.814
Singapore,0.0,22.1
Sint Maarten (Dutch part),0.0,26.489
Slovak Republic,58.9430047840311,17.8
Slovenia,62.995980615586724,15.9
Small states,65.33614576772693,34.4164584809224
Solomon Islands,91.08272147101538,42.844
Somalia,77.32200440905709,45.182
South Africa,52.19100185771779,39.376
South Asia,81.40413274615057,40.6896026112161
South Asia (IDA & IBRD),81.40413274615057,40.6896026112161
South Sudan,91.36700763820119,52.467
Spain,33.961999946117835,19.5
Sri Lanka,82.40199651797528,30.631
St. Kitts and Nevis,65.85794342643658,26.881
St. Lucia,76.09273450383161,38.345
St. Vincent and the Grenadines,69.3171777084878,36.45
Sub-Saharan Africa,81.82799942441757,47.5660967317535
Sub-Saharan Africa (IDA & IBRD countries),81.82799942441757,47.5660967317535
Sub-Saharan Africa (excluding high income),81.83181086680143,47.5660967317535
Sudan,83.47700165746647,48.781
Suriname,54.05192699477256,34.999
Sweden,18.966004505146902,13.7
Switzerland,26.157000050316487,16.1
Syrian Arab Republic,56.65499693869429,47.069
Tajikistan,63.12398952362147,42.056
Tanzania,92.14800320042484,49.653
Thailand,79.11100017300086,37.426
Timor-Leste,87.1140263636216,43.055
Togo,78.72000466008883,47.893
Tonga,79.81245085796218,36.522
Trinidad and Tobago,56.96498093822366,26.675
Tunisia,56.51800410666552,41.98
Turkiye,61.766000328071904,38.736
Turkmenistan,52.22000952107537,38.014
Turks and Caicos Islands,48.89673433362754,30.788
Tuvalu,77.91537667698658,28.569
Uganda,93.33600007443872,48.965
Ukraine,45.16899924842033,14.79
United Arab Emirates,20.200010735228997,33.432
United Kingdom,22.882999106232567,16.2
United States,26.398000019507244,18.4
Upper middle income,69.52594995528223,32.7996305272373
Uruguay,17.63201703064046,19.461
Uzbekistan,63.28600064555548,37.928
Vanuatu,87.67510543674369,42.557
"Venezuela, RB",28.147999092948556,37.49
Viet Nam,81.70000087529233,34.787
Virgin Islands (U.S.),30.40834331085765,31.2
World,63.47314189136274,32.4922571215281
"Yemen, Rep.",86.69999606932426,55.138
Zambia,69.64899918746677,49.759
Zimbabwe,82.63799275714128,46.065
